기간	자치구	주택매매가격지수(2017.11=100.0)	주택매매가격지수(2017.11=100.0)
기간	자치구	종합	아파트
2015	강동구	94.65	92.60
2016	서울시	97.06	96.32
2016	종로구	97.55	96.55
2016	중구	97.07	96.83
2016	용산구	96.69	96.39
2016	성동구	96.66	96.56
2016	광진구	97.37	96.10
2016	동대문구	97.73	97.47
2016	중랑구	98.41	98.35
2016	성북구	97.97	98.03
2016	강북구	98.83	98.37
2016	도봉구	98.14	97.41
2016	노원구	97.06	96.66
2016	은평구	97.77	96.75
2016	서대문구	97.59	97.22
2016	마포구	96.55	96.26
2016	양천구	96.77	96.73
2016	강서구	96.54	95.32
2016	구로구	97.34	96.36
2016	금천구	97.26	96.42
2016	영등포구	96.13	95.46
2016	동작구	96.49	95.72
2016	관악구	97.30	95.90
2016	서초구	97.24	96.84
2016	강남구	96.05	95.42
2016	송파구	95.74	94.13
2016	강동구	96.67	95.70
2017	서울시	100.59	100.84
2017	종로구	100.35	100.22
2017	중구	100.43	100.65
2017	용산구	100.35	100.21
2017	성동구	101.29	101.59
2017	광진구	100.87	101.57
2017	동대문구	100.22	100.16
2017	중랑구	100.23	100.12
2017	성북구	100.39	100.28
2017	강북구	100.29	100.40
2017	도봉구	100.18	100.14
2017	노원구	100.16	100.15
2017	은평구	100.18	100.17
2017	서대문구	100.29	100.32
2017	마포구	100.36	100.35
2017	양천구	101.34	102.03
2017	강서구	100.23	100.37
2017	구로구	100.26	100.34
2017	금천구	100.13	100.06
2017	영등포구	100.77	101.03
2017	동작구	100.41	100.58
2017	관악구	100.12	100.17
2017	서초구	101.08	101.46
2017	강남구	101.36	101.70
2017	송파구	101.50	102.34
2017	강동구	100.93	101.20
2018	서울시	106.80	108.90
2018	종로구	106.20	108.50
2018	중구	108.40	111.10
2018	용산구	109.80	111.30
2018	성동구	109.30	110.60
2018	광진구	105.60	109.00
2018	동대문구	106.20	107.10
2018	중랑구	104.40	104.50
2018	성북구	107.50	109.20
2018	강북구	105.00	108.60
2018	도봉구	104.30	105.30
2018	노원구	104.00	104.20
2018	은평구	105.20	106.80
2018	서대문구	106.20	107.70
2018	마포구	110.30	111.40
2018	양천구	107.30	110.90
2018	강서구	106.40	109.80
2018	구로구	105.20	106.80
2018	금천구	103.50	104.10
2018	영등포구	108.60	109.90
2018	동작구	108.10	110.80
2018	관악구	103.80	105.50
2018	서초구	108.30	110.00
2018	강남구	109.30	111.30
2018	송파구	108.70	113.00
2018	강동구	109.90	113.50
2019	서울시	108.20	110.10
2019	종로구	107.50	109.80
2019	중구	109.80	112.10
2019	용산구	111.60	111.90
2019	성동구	110.60	111.00
2019	광진구	107.50	110.50
2019	동대문구	107.40	107.30
2019	중랑구	105.40	104.80
2019	성북구	108.70	109.90
2019	강북구	106.30	109.90
2019	도봉구	105.00	105.60
2019	노원구	104.60	104.50
2019	은평구	106.00	107.60
2019	서대문구	107.50	108.60
2019	마포구	112.20	113.10
2019	양천구	108.70	112.80
2019	강서구	107.00	110.40
2019	구로구	106.50	108.00
2019	금천구	105.00	105.70
2019	영등포구	110.70	111.60
2019	동작구	109.90	112.10
2019	관악구	104.80	106.00
2019	서초구	109.80	111.80
2019	강남구	111.40	113.80
2019	송파구	111.20	116.50
2019	강동구	110.20	113.60
