Date의 연도,원달러환율 (Seoul),코스피대비강남구주택매매가격지수,코스피대비경북집값,코스피대비서울집값,코스피대비송파구주택매매가격,코스피대비양천구주택매매가격,코스피대비은평구주택매매가격,코스피대비인천집값,코스피대비집값
2016,1144.5,,,0.591339591,,,,,
2016,1151.8,,,0.226237291,,,,,
2016,1191.7,,,0.177952396,,,,,
2016,1120.2,,,0.007285656,,,,,
2016,1101.3,,,-0.267471968,,,,,
2016,1143.5,,,-0.360872950,,,,,
2016,1114.8,,,-0.523982198,,,,,
2016,1139.3,,,-0.739253251,,,,,
2015,1172.5,,,-0.240001059,,,,,
2015,1185.3,,,-1.062967474,,,,,
2015,1158.1,,,-1.497291634,,,,,
2015,1182.5,,,-1.978401765,,,,,
2015,1140.1,,,-2.432668571,,,,,
2015,1170,,,-5.043707009,,,,,
2015,1115.5,,,-5.681359907,,,,,
2015,1108.2,,,-7.52680247,,,,,
2015,1072.4,,,-7.941238581,,,,,
2014,1099.3,,,-5.420120179,,,,,
2014,1068.5,,,-5.54127884,,,,,
2014,1107.9,,,-5.851075895,,,,,
2014,1067.5,,,-6.417974919,,,,,
2014,1064.7,,,-6.475483329,,,,,
2014,1033.2,,,-7.418138157,,,,,
2014,1020.1,,,-7.489639839,,,,,
2014,1011.8,,,-7.612744124,,,,,
2014,1027.9,,,-8.266230585,,,,,
2014,1055.2,,,-8.371120013,,,,,
2014,1014,,,-9.114235879,,,,,
2013,1142,,,-5.421216523,,,,,
2013,1123.5,,,-5.613807931,,,,,
2013,1110,,,-6.626436288,,,,,
2013,1101,,,-6.745943264,,,,,
2013,1129.7,,,-7.411016335,,,,,
2013,1089,,,-7.59434783,,,,,
2013,1083,,,-7.742345955,,,,,
2013,1111,,,-8.195033872,,,,,
2013,1055.4,,,-8.248582099,,,,,
2013,1074.7,,,-8.652760117,,,,,
2013,1058.2,,,-8.773657376,,,,,
2013,1060.7,,,-9.354226504,,,,,
2012,1123,,,1.218269497,,,,,
2012,1145,,,-0.150306580,,,,,
2012,1130,,,-0.218908025,,,,,
2012,1180,,,-0.368397905,,,,,
2012,1118,,,-1.810954569,,,,,
2012,1130,,,-2.533173176,,,,,
2012,1133,,,-2.701738223,,,,,
2012,1134,,,-3.260266873,,,,,
2012,1082.9,,,-4.51467541,,,,,
2012,1111.4,,,-4.890961187,,,,,
2012,1090.7,,,-5.026443457,,,,,
2012,1070.6,,,-6.796180952,,,,,
2011,1178.1,,,4.351758715,,,,,
2011,1110,,,3.302250636,,,,,
2011,1066.8,,,2.543587977,,,,,
2011,1143,,,2.401626360,,,,,
2011,1151,,,2.093887431,,,,,
2011,1096.7,,,-0.397335201,,,,,
2011,1128.7,,,-0.502199261,,,,,
2011,1067.7,,,-2.247667192,,,,,
2011,1079.2,,,-3.296314961,,,,,
2011,1071.5,,,-4.056567539,,,,,
2011,1054.5,,,-4.181904218,,,,,
2010,1160,,,11.221013112,,,,,
2010,1131.3,,,9.50274035,,,,,
2010,1202.5,,,9.42104951,,,,,
2010,1161.8,,,8.897564152,,,,,
2010,1222.2,,,8.059711618,,,,,
2010,1108.4,,,7.827028113,,,,,
2010,1182.7,,,6.606842264,,,,,
2010,1198.1,,,5.451453746,,,,,
2010,1140.2,,,3.848615275,,,,,
2010,1125.3,,,1.85012909,,,,,
2010,1159.7,,,0.898675387,,,,,
2010,1134.8,,,-0.893200750,,,,,
2009,1534,,,18.689138075,,,,,
2009,1379.5,,,18.484934689,,,,,
2009,1383.5,,,18.472113865,,,,,
2009,1282,,,14.35433137,,,,,
